forme incorrecte,forme correcte,cas_spacy,cas_correct_spacy,cas_manuel,cas_correct_manuel,correct?
ulicza,ulicą,Gen,Ins,Nom,Nom,False
ulisa,ulicą,Acc,Ins,Nom,Nom,False
ulika,ulicą,,Ins,Nom,Nom,False
ulico,ulicą,Nom,Ins,Ins,Ins,False
ulicon,ulicą,Gen,Ins,Ins,Acc,False
uli,ulicą,Gen,Ins,?,Nom,False
ulidze,ulicą,Nom,Ins,Acc,Ins,False
ulicia,ulicą,Gen,Ins,Nom,Nom,False
luczi,ulicą,Gen,Ins,?,Ins,False
julisa,ulicą,Acc,Ins,Nom,Ins,False
niskom,niską,Dat,Ins,Ins,Ins,False
nisko,niską,,Ins,Ins,Ins,False
niskon,niską,,Ins,Ins,Ins,False
niszkon,niską,Nom,Ins,Ins,Ins,False
niskie,niską,Nom,Ins,Loc,Ins,False
ulicza,ulicę,Gen,Acc,Nom,Nom,False
ulisa,ulicę,Acc,Acc,Nom,Nom,False
ulika,ulicę,,Acc,Nom,Nom,False
ulicze,ulicę,Nom,Acc,Acc,Acc,False
ulicon,ulicę,Gen,Acc,Ins,Acc,False
ul,ulicę,,Acc,,Acc,False
uli,ulicę,Gen,Acc,?,Nom,False
uliczia,ulicę,Acc,Acc,Nom,Nom,False
ulicia,ulicę,Gen,Acc,Nom,Nom,False
ulisze,ulicę,Nom,Acc,Acc,Nom,False
ulisę,ulicę,,Acc,Acc,Acc,False
ulicz,ulicę,Nom,Acc,?,Acc,False
julisa,ulicę,Acc,Acc,Nom,Acc,False
ulipia,ulicę,,Acc,Nom,Acc,False
juliuska,juliusza,Nom,Nom,Gen,Gen,False
żuliuska,juliusza,Nom,Nom,Gen,Gen,False
dżulieska,juliusza,Nom,Nom,Gen,Gen,False
juleska,juliusza,Nom,Nom,Gen,Gen,False
julieska,juliusza,Nom,Nom,Gen,Gen,False
julucza,juliusza,,Nom,Gen,Gen,False
juliuszka,juliusza,Nom,Nom,Gen,Gen,False
julusza,juliusza,Nom,Nom,Gen,Gen,False
juliuszko,juliusza,,Nom,Gen,Gen,False
juliaszka,juliusza,Nom,Nom,Gen,Gen,False
dżulius,juliusza,Gen,Nom,Nom,Gen,False
julieszka,juliusza,Nom,Nom,Gen,Gen,False
juliżasi,juliusza,Nom,Nom,?,Gen,False
żulianizi,juliusza,Nom,Nom,?,Gen,False
juliske,juliusza,Nom,Nom,?,Gen,False
juliaska,juliusza,Nom,Nom,Gen,Gen,False
dżuliaska,juliusza,Nom,Nom,Gen,Gen,False
julisze,juliusza,,Nom,?,Gen,False
juliuse,juliusza,,Nom,?,Gen,False
dobron,dobrą,Gen,Ins,Ins,Ins,False
dobre,dobrą,Acc,Ins,Nom,Gen,False
dobru,dobrą,Dat,Ins,?,Ins,False
spital,szpitala,,Gen,Nom,Ins,False
spitala,szpitala,,Gen,Gen,Ins,False
grawo,prawo,,Nom,,,False
brawo,prawo,,Nom,,,False
prewo,prawo,Nom,Nom,,,False
praweu,prawo,Dat,Nom,,,False
prawou,prawo,Nom,Nom,,,False
restoraucje,restauracji,Nom,Gen,Acc,Gen,False
restoraczje,restauracji,Nom,Gen,Acc,Gen,False
restrantaże,restauracji,Nom,Gen,Acc,Gen,False
restracje,restauracji,Nom,Gen,Acc,Gen,False
restoracje,restauracji,Nom,Gen,Acc,Gen,False
restorac,restauracji,Gen,Gen,?,Gen,False
restorauk,teatru,Gen,Gen,?,Gen,False
teatry,teatru,Ins,Gen,Nom,Gen,False
teatra,teatru,Nom,Gen,?,Gen,False
teatsz,teatru,,Gen,Nom,Gen,False
teatre,teatru,,Gen,Loc,Gen,False
teat,teatru,Gen,Gen,Nom,Gen,False
tieat,teatru,Gen,Gen,Nom,Gen,False
teaczre,teatru,Nom,Gen,Loc,Gen,False
teaczra,teatru,,Gen,?,Gen,False
tieatre,teatru,Nom,Gen,Loc,Gen,False
skała,szkoły,,Gen,Nom,Gen,False
skoly,szkoły,,Gen,Gen,Gen,False
skuole,szkoły,,Gen,Loc,Gen,False
szkuła,szkoły,,Gen,Nom,Gen,False
skoły,szkoły,Nom,Gen,Gen,Gen,False
skołe,szkoły,Nom,Gen,Acc,Gen,False
szkoly,szkoły,Ins,Gen,Gen,Gen,False
skole,szkoły,Nom,Gen,Loc,Gen,False
szkole,szkoły,Dat,Gen,Loc,Gen,False
szkolu,szkoły,Gen,Gen,?,Gen,False
uniwersytecze,uniwersytetu,Nom,Gen,Loc,Gen,False
juniwersitecz,uniwersytetu,,Gen,Nom,Gen,False
uniwersitecia,uniwersytetu,Gen,Gen,?,Gen,False
uniwezitet,uniwersytetu,Acc,Gen,Nom,Gen,False
uniwersitete,uniwersytetu,Ins,Gen,Loc,Gen,False
do,dom,,Nom,?,Nom,False
doma,dom,Nom,Nom,?,Nom,False
zdom,dom,Dat,Nom,Nom,Nom,False
spitala,szpitalem,,Ins,Gen,Ins,False
spital,szpitalem,,Ins,Nom,Ins,False
spitae,szpitalem,Acc,Ins,?,Ins,False
szpitaem,szpitalem,Nom,Ins,Ins,Ins,False
dobre,dobra,Acc,Nom,Nom,Gen,False
dobrej,dobra,Gen,Nom,Loc,Nom,False
ulic,ulicy,Gen,Gen,?,Nom,False
ulidza,ulicy,,Gen,Nom,Gen,False
ulicza,ulicy,Gen,Gen,Nom,Nom,False
dobre,dobrej,Acc,Gen,Nom,Gen,False
szklepe,sklepu,Ins,Gen,?,Ins,False
szklepu,sklepu,Nom,Gen,Gen,Gen,False
sklepe,sklepu,Ins,Gen,?,Gen,False
skelp,sklepu,,Gen,Nom,Gen,False
skowalskiego,słowackiego,Acc,Ins,Gen,Gen,False
sowaskiega,słowackiego,,Ins,Gen,Gen,False
stowancziengeu,słowackiego,Nom,Ins,Gen,Gen,False
słowakiego,słowackiego,Acc,Ins,Gen,Gen,False
sklebe,sklepem,Ins,Ins,?,Ins,False
sklepen,sklepem,,Ins,Ins,Ins,False
szklepe,sklepem,Ins,Ins,?,Ins,False
ulisze,ulica,Nom,Nom,Acc,Nom,False
ulika,ulica,,Nom,Nom,Nom,False
uliczia,ulica,Acc,Nom,Nom,Nom,False
ulicza,ulica,Gen,Nom,Nom,Nom,False
ulicia,ulica,Gen,Nom,Nom,Nom,False
jul,ulica,Nom,Nom,?,Nom,False
uli,ulica,Gen,Nom,?,Nom,False
ulic,ulica,Gen,Nom,?,Nom,False
ulisa,ulica,Acc,Nom,Nom,Nom,False
numero,numer,,Nom,Nom,Nom,False
nume,numer,Ins,Nom,?,Nom,False
teatra,teatrem,Nom,Ins,?,Ins,False
szrodku,środku,Gen,Gen,Loc,Loc,False
rou,rogu,Ins,Gen,Loc,Loc,False
biblioteke,biblioteki,,Gen,Acc,Gen,False
bibliotek,biblioteki,Gen,Gen,?,Gen,False
biblioteku,biblioteki,Gen,Gen,?,Gen,False
krzyżowanie,skrzyżowaniem,,Ins,Nom,Ins,False
zielon,zielony,Nom,Nom,?,Nom,False
numero,numery,,Nom,Nom,Nom,False
kratika,krótką,Gen,Ins,Nom,Ins,False
hotelu,hotelem,Gen,Ins,Loc,Ins,False
teatre,teatr,,Nom,Loc,Gen,False
biblio,biblioteką,Ins,Ins,?,Ins,False
